类别,模块/对象,参数名称,建议值,说明
通用,随机码源,比特数,1000,每次仿真产生的随机二进制序列长度
通用,码元参数,码元速率,1 kbps,统一比较基线
通用,码元参数,码元周期,1 ms,由码元速率确定
通用,采样设置,采样频率,100 kHz,保证波形与频谱观察精度
通用,载波源,载波频率,10 kHz,ASK/PSK/DPSK统一使用
通用,信道,信噪比范围,0-20 dB,建议步长2 dB
通用,观察模块,误码率统计,启用,所有系统都应配置
ASK,发送端,基带映射,单极性NRZ,1映射高电平 0映射低电平
ASK,发送端,载波幅度,1,标准化处理
ASK,接收端,解调方式,包络检波或相干解调,两种方案任选其一
ASK,接收端,判决门限,0.5,按归一化幅度设置
FSK,发送端,频率f1,12 kHz,表示二进制1
FSK,发送端,频率f2,8 kHz,表示二进制0
FSK,发送端,调制方式,二进制FSK,双频切换
FSK,接收端,解调方式,双路带通+包络判决,适合课程设计表达
FSK,接收端,滤波器中心频率,对应f1和f2,两路分别设置
PSK,发送端,调制方式,BPSK,建议作为PSK实现形式
PSK,发送端,基带映射,+1/-1,1映射+1 0映射-1
PSK,接收端,解调方式,相干解调,乘本地同步载波
PSK,接收端,判决门限,0,双极性判决
DPSK,发送端,预处理,差分编码,先编码再调制
DPSK,发送端,载波频率,10 kHz,与PSK保持一致
DPSK,接收端,解调方式,延时比较法,差分检测
DPSK,接收端,延时长度,1码元周期,与前一码元比较
DPSK,接收端,初始参考位,1,差分编码初始值
