实验编号,调制方式,信道类型,SNR(dB),比特数,误码数,BER,发送端波形结论,接收端波形结论,频谱特征,抗干扰能力结论,备注
EXP-01,ASK,理想信道,,1000,,,,,,,
EXP-02,FSK,理想信道,,1000,,,,,,,
EXP-03,PSK,理想信道,,1000,,,,,,,
EXP-04,DPSK,理想信道,,1000,,,,,,,
EXP-05,ASK,AWGN,0,1000,,,,,,,
EXP-06,ASK,AWGN,2,1000,,,,,,,
EXP-07,ASK,AWGN,4,1000,,,,,,,
EXP-08,ASK,AWGN,6,1000,,,,,,,
EXP-09,ASK,AWGN,8,1000,,,,,,,
EXP-10,ASK,AWGN,10,1000,,,,,,,
EXP-11,ASK,AWGN,12,1000,,,,,,,
EXP-12,ASK,AWGN,14,1000,,,,,,,
EXP-13,ASK,AWGN,16,1000,,,,,,,
EXP-14,ASK,AWGN,18,1000,,,,,,,
EXP-15,ASK,AWGN,20,1000,,,,,,,
EXP-16,FSK,AWGN,0,1000,,,,,,,
EXP-17,FSK,AWGN,2,1000,,,,,,,
EXP-18,FSK,AWGN,4,1000,,,,,,,
EXP-19,FSK,AWGN,6,1000,,,,,,,
EXP-20,FSK,AWGN,8,1000,,,,,,,
EXP-21,FSK,AWGN,10,1000,,,,,,,
EXP-22,FSK,AWGN,12,1000,,,,,,,
EXP-23,FSK,AWGN,14,1000,,,,,,,
EXP-24,FSK,AWGN,16,1000,,,,,,,
EXP-25,FSK,AWGN,18,1000,,,,,,,
EXP-26,FSK,AWGN,20,1000,,,,,,,
EXP-27,PSK,AWGN,0,1000,,,,,,,
EXP-28,PSK,AWGN,2,1000,,,,,,,
EXP-29,PSK,AWGN,4,1000,,,,,,,
EXP-30,PSK,AWGN,6,1000,,,,,,,
EXP-31,PSK,AWGN,8,1000,,,,,,,
EXP-32,PSK,AWGN,10,1000,,,,,,,
EXP-33,PSK,AWGN,12,1000,,,,,,,
EXP-34,PSK,AWGN,14,1000,,,,,,,
EXP-35,PSK,AWGN,16,1000,,,,,,,
EXP-36,PSK,AWGN,18,1000,,,,,,,
EXP-37,PSK,AWGN,20,1000,,,,,,,
EXP-38,DPSK,AWGN,0,1000,,,,,,,
EXP-39,DPSK,AWGN,2,1000,,,,,,,
EXP-40,DPSK,AWGN,4,1000,,,,,,,
EXP-41,DPSK,AWGN,6,1000,,,,,,,
EXP-42,DPSK,AWGN,8,1000,,,,,,,
EXP-43,DPSK,AWGN,10,1000,,,,,,,
EXP-44,DPSK,AWGN,12,1000,,,,,,,
EXP-45,DPSK,AWGN,14,1000,,,,,,,
EXP-46,DPSK,AWGN,16,1000,,,,,,,
EXP-47,DPSK,AWGN,18,1000,,,,,,,
EXP-48,DPSK,AWGN,20,1000,,,,,,,
